"Index","fcmean","fc95","fc80","fc0"
2016-01-06 19:00:00,109.7336125054,113.447092100684,112.161726300599,103.40243976
2016-01-06 20:00:00,109.3157042584,113.120888516727,111.803780509755,102.336317828
2016-01-06 21:00:00,108.7871016834,112.681831940433,111.333728916168,101.165560175
2016-01-06 22:00:00,108.1419647569,112.12422797149,110.745826714224,99.9083546773
2016-01-06 23:00:00,107.3772212734,111.445134355744,110.03708666904,98.5832470202
2016-01-07 00:00:00,104.8885578965,109.282406208223,107.761540883468,95.7518999518
2016-01-07 01:00:00,106.3206348322,111.017856258463,109.391982836561,96.8014899248
2016-01-07 02:00:00,107.7582554453,112.740411130168,111.015911947201,97.8200553081
2016-01-07 03:00:00,109.1812548274,114.432908034646,112.615126287555,98.7903924649
2016-01-07 04:00:00,110.569189012,116.077169363281,114.17066378289,99.6947123183
2016-01-07 05:00:00,111.9018289317,117.654726783306,115.6634466483,100.515105778
