time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1210.204943,      32,       2,    2573,  219282,       0,    2031, 4177380,       0,19.988210,1990.825716,0.000000,4.997053,497.706429,0.000000
1211.206397,      32,       2,    2579,  220394,       0,    2032, 4177487,       0,5.993197,1110.739188,0.000000,0.998866,106.878681,0.000000
1212.204871,      32,       2,    2600,  222648,       0,    2037, 4177965,       0,21.037869,2258.064652,0.000000,5.009017,478.861980,0.000000
1213.207353,      32,       2,    2600,  222648,       0,    2037, 4177965,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1214.206006,      32,       2,    2600,  222648,       0,    2037, 4177965,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1215.205467,      32,       2,    2601,  222990,       0,    2037, 4177965,       0,1.000656,342.224461,0.000000,0.000000,0.000000,0.000000
1216.206051,      32,       2,    2601,  222990,       0,    2037, 4177965,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1217.206562,      32,       2,    2602,  223332,       0,    2037, 4177965,       0,0.999617,341.869098,0.000000,0.000000,0.000000,0.000000
1218.206369,      32,       2,    2602,  223332,       0,    2037, 4177965,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1219.207053,      32,       2,    2606,  223760,       0,    2038, 4178072,       0,3.997757,427.760027,0.000000,0.999439,106.940007,0.000000
1220.208236,      32,       2,    2606,  223760,       0,    2038, 4178072,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1221.207310,      32,       2,    2606,  223760,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,1.001333,342.455758,0.000000
1222.207530,      32,       2,    2606,  223760,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1223.208170,      32,       2,    2606,  223760,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1224.207774,      32,       2,    2606,  223760,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1225.211578,      32,       2,    2608,  224444,       0,    2039, 4178414,       0,1.993880,681.907116,0.000000,0.000000,0.000000,0.000000
1226.210960,      32,       2,    2609,  224786,       0,    2039, 4178414,       0,1.000748,342.255653,0.000000,0.000000,0.000000,0.000000
1227.210588,      32,       2,    2609,  224786,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1228.211010,      32,       2,    2609,  224786,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1229.209916,      32,       2,    2609,  224786,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1230.210361,      32,       2,    2610,  225128,       0,    2039, 4178414,       0,1.000208,342.071199,0.000000,0.000000,0.000000,0.000000
1231.211545,      32,       2,    2610,  225128,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1232.210872,      32,       2,    2610,  225128,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1233.212074,      32,       2,    2611,  225470,       0,    2039, 4178414,       0,0.998928,341.633386,0.000000,0.000000,0.000000,0.000000
1234.213803,      32,       2,    2611,  225470,       0,    2039, 4178414,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1235.212948,      32,       2,    2615,  225898,       0,    2040, 4178521,       0,4.004962,428.530976,0.000000,1.001241,107.132744,0.000000
